item_code,item,parent_raw_item_code,parent_raw_item,commodity_class,include
584,Mango pulp,,,crop,TRUE
587,Persimmons,,,crop,TRUE
591,Cashewapple,,,crop,TRUE
592,Kiwi fruit,,,crop,TRUE
600,Papayas,,,crop,TRUE
624,Flour of fruits,,,byproduct,FALSE
625,"Fruit, nuts, peel, sugar preserved",,,crop,TRUE
626,"Homogenized cooked fruit, prepared",,,crop,TRUE
628,"Pulp, waste of fruit for feed",,,crop,TRUE
634,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",,,crop,TRUE
635,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",,,crop,TRUE
636,"Forage and silage, maize",,,crop,TRUE
641,"Forage and silage, alfalfa",,,crop,TRUE
647,Beets for fodder,,,crop,TRUE
649,Swedes for fodder,,,crop,TRUE
653,Food wastes,,,crop,TRUE
654,Brewing or distilling dregs and waste,,,crop,FALSE
655,Vegetables and roots fodder,,,crop,TRUE
656,"Coffee, green",,,crop,TRUE
657,"Coffee, decaffeinated or roasted",656,"Coffee, green",byproduct,TRUE
658,Coffee substitutes,656,"Coffee, green",byproduct,TRUE
659,Coffee extracts,656,"Coffee, green",byproduct,TRUE
660,Coffee husks and skins,,,livestock,FALSE
661,Cocoa beans,,,crop,TRUE
662,Cocoa paste not defatted,661,Cocoa beans,byproduct,TRUE
663,Cocoa husks and shells,,,crop,TRUE
664,"Cocoa butter, fat and oil",,,livestock,FALSE
665,Cocoa powder and cake,661,Cocoa beans,byproduct,TRUE
666,Chocolate products nes,661,Cocoa beans,byproduct,FALSE
667,Tea leaves,,,crop,TRUE
671,Maté leaves,,,crop,TRUE
672,"Extracts, essences and concentrates of tea or mate, and preparations with a basis thereof or with a basis of tea or maté",,,livestock,FALSE
675,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",,,crop,TRUE
687,"Pepper (Piper spp.), raw",,,crop,TRUE
689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,,crop,TRUE
692,"Vanilla, raw",,,crop,TRUE
693,"Cinnamon and cinnamon-tree flowers, raw",,,crop,TRUE
698,"Cloves (whole stems), raw",,,crop,TRUE
702,"Nutmeg, mace, cardamoms, raw",,,crop,TRUE
711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,crop,TRUE
720,"Ginger, raw",,,crop,TRUE
737,Oil of citronella,,,byproduct,FALSE
767,"Cotton lint, ginned",,,crop,TRUE
768,"Cotton, carded or combed",,,crop,TRUE
769,Cotton waste,,,crop,TRUE
770,Cotton linters,,,crop,TRUE
771,"Flax, raw or retted",,,crop,TRUE
773,"Flax, processed but not spun",,,crop,TRUE
774,"Flax, tow and waste",,,crop,TRUE
777,"True hemp, raw or retted",,,crop,TRUE
778,"Kapok fibre, raw",,,crop,TRUE
782,"Kenaf, and other textile bast fibres, raw or retted",,,crop,TRUE
788,"Ramie, raw or retted",,,crop,TRUE
789,"Sisal, raw",,,crop,TRUE
809,"Abaca, manila hemp, raw",,,crop,TRUE
826,Unmanufactured tobacco,,,crop,TRUE
828,Cigarettes,,,crop,TRUE
829,Cigars and cheroots,,,crop,TRUE
836,Natural rubber in primary forms,,,crop,TRUE
837,Natural rubber in other forms,,,crop,TRUE
839,"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",,,crop,TRUE
840,"Feed, compound, cattle",,,crop,FALSE
841,"Feed, compound, poultry",,,crop,TRUE
842,"Feed, compound, pigs",,,crop,TRUE
843,"Dog or cat food, put up for retail sale",,,crop,FALSE
846,Gluten feed and meal,,,crop,TRUE
850,Feed supplements,,,crop,TRUE
852,"Feed, other concentrates nes",,,crop,TRUE
853,Vitamins,,,crop,TRUE
855,Feed minerals,,,crop,TRUE
857,"Hay, non-leguminous",,,crop,TRUE
862,Lucerne (alfalfa) meal and pellets,,,crop,TRUE
866,Cattle,,,livestock,TRUE
867,"Meat of cattle with the bone, fresh or chilled",,,livestock,TRUE
870,"Meat of cattle boneless, fresh or chilled",,,livestock,TRUE
871,"Cattle, butcher fat",,,crop,TRUE
872,"Bovine meat, salted, dried or smoked",944,"Meat of cattle with the bone, fresh or chilled (indigenous)",livestock,TRUE
873,"Extracts and juices of meat, fish, crustaceans, molluscs or other aquatic invertebrates",,,byproduct,FALSE
874,"Sausages and similar products of meat, offal or blood of beef and veal",,,livestock,FALSE
875,Beef and veal preparations nes,,,livestock,FALSE
877,Homogenized meat preparations,,,livestock,FALSE
878,Liver preparations,,,livestock,FALSE
882,Raw milk of cattle,,,livestock,TRUE
892,"Yoghurt, with additives",,,livestock,FALSE
907,Processed cheese,,,livestock,FALSE
908,Reconstituted milk,,,crop,TRUE
910,Ice cream and other edible ice,,,livestock,FALSE
920,"Hides, wet-salted of cattle",944,"Meat of cattle with the bone, fresh or chilled (indigenous)",livestock,TRUE
921,"Hides, cattle, dry salted",,,livestock,FALSE
922,"Hides, cattle nes",,,livestock,FALSE
928,"Skins, wet-salted of calves",,,livestock,FALSE
929,"Skins, calve, dry salted",,,livestock,FALSE
930,"Skins, calve nes",,,livestock,FALSE
944,"Meat of cattle with the bone, fresh or chilled (indigenous)",,,livestock,TRUE
946,Buffalo,,,livestock,TRUE
947,"Meat of buffalo, fresh or chilled",,,livestock,TRUE
951,Raw milk of buffalo,,,livestock,TRUE
959,"Hides, dry-salted of buffalo",972,"Meat of buffalo, fresh or chilled (indigenous)",livestock,TRUE
972,"Meat of buffalo, fresh or chilled (indigenous)",,,livestock,TRUE
976,Sheep,,,livestock,TRUE
977,"Meat of sheep, fresh or chilled",,,livestock,TRUE
982,Raw milk of sheep,,,livestock,TRUE
988,"Wool, degreased or carbonized, not carded or combed",,,livestock,FALSE
994,Wool grease and lanolin,,,livestock,FALSE
996,"Skins, wet-salted of sheep",1012,"Meat of sheep, fresh or chilled (indigenous)",livestock,TRUE
997,"Skins, dry-salted of sheep",1012,"Meat of sheep, fresh or chilled (indigenous)",livestock,TRUE
998,"Skins, sheep nes",,,livestock,FALSE
1002,"Skins, karakul",,,livestock,FALSE
1007,"Wool, shoddy",,,livestock,FALSE
1008,"Hair, carded/combed",,,livestock,FALSE
1009,"Wool, hair waste",,,livestock,FALSE
1012,"Meat of sheep, fresh or chilled (indigenous)",,,livestock,TRUE
1016,Goats,,,livestock,TRUE
1017,"Meat of goat, fresh or chilled",,,livestock,TRUE
1020,Raw milk of goats,,,livestock,TRUE
1026,"Skins, wet-salted of goats",1032,"Meat of goat, fresh or chilled (indigenous)",livestock,TRUE
1027,"Skins, goat, dry salted",,,livestock,FALSE
1028,"Skins, goat nes",,,livestock,FALSE
1030,"Hair, goat, fine",,,livestock,FALSE
1031,Coarse goat hair,,,livestock,FALSE
1032,"Meat of goat, fresh or chilled (indigenous)",,,livestock,TRUE
1034,Swine / pigs,,,livestock,TRUE
1035,"Meat of pig with the bone, fresh or chilled",,,livestock,TRUE
1038,"Meat of pig boneless, fresh or chilled",,,livestock,TRUE
1039,"Pig meat, cuts, salted, dried or smoked (bacon and ham)",1055,"Meat of pig with the bone, fresh or chilled (indigenous)",livestock,TRUE
1040,"Pig, butcher fat",,,crop,TRUE
1041,"Sausages and similar products of meat, offal or blood of pig",1055,"Meat of pig with the bone, fresh or chilled (indigenous)",livestock,TRUE
1042,Pig meat preparations,1055,"Meat of pig with the bone, fresh or chilled (indigenous)",livestock,TRUE
1045,"Skins, pig, wet salted",,,livestock,FALSE
1047,"Skins, pig nes",,,livestock,FALSE
1055,"Meat of pig with the bone, fresh or chilled (indigenous)",,,livestock,TRUE
1057,Chickens,,,livestock,TRUE
1058,"Meat of chickens, fresh or chilled",,,livestock,TRUE
1060,Fatty liver preparations,,,livestock,FALSE
1061,Poultry meat preparations,,,livestock,FALSE
1062,"Hen eggs in shell, fresh",,,livestock,TRUE
1063,"Eggs, liquid",1062,"Hen eggs in shell, fresh",livestock,TRUE
1064,"Eggs, dried",1062,"Hen eggs in shell, fresh",livestock,TRUE
1066,"Poultry fat, rendered",,,livestock,FALSE
1068,Ducks,,,livestock,TRUE
1072,Geese,,,livestock,TRUE
1079,Turkeys,,,livestock,TRUE
1080,"Meat of turkeys, fresh or chilled",,,livestock,TRUE
1087,"Meat of turkeys, fresh or chilled (indigenous)",,,livestock,TRUE
1094,"Meat of chickens, fresh or chilled (indigenous)",,,livestock,TRUE
1096,Horses,,,livestock,TRUE
1097,"Horse meat, fresh or chilled",,,livestock,TRUE
1100,"Hair, horse",,,livestock,FALSE
1103,"Hides, horse, wet salted",,,livestock,FALSE
1104,"Hides, dry-salted of horses",,,livestock,FALSE
1105,"Hides, horse nes",,,livestock,FALSE
1107,Asses,,,livestock,TRUE
1110,Mules and hinnies,,,crop,TRUE
1120,"Horse meat, fresh or chilled (indigenous)",,,livestock,TRUE
1126,Camels,,,livestock,TRUE
1127,"Meat of camels, fresh or chilled",,,livestock,TRUE
1130,Raw milk of camel,,,livestock,TRUE
1134,"Hides, wet-salted of camels",1137,"Meat of camels, fresh or chilled (indigenous)",livestock,TRUE
1137,"Meat of camels, fresh or chilled (indigenous)",,,livestock,TRUE
1140,Rabbits and hares,,,livestock,TRUE
1141,"Meat of rabbits and hares, fresh or chilled",,,livestock,TRUE
1144,"Meat of rabbits and hares, fresh or chilled (indigenous)",,,livestock,TRUE
1146,"Skins, rabbit",,,livestock,FALSE
1173,Meat meal,,,crop,TRUE
1181,Bees,,,crop,TRUE
1187,Silk waste,,,crop,TRUE
1195,"Skins, furs",,,livestock,FALSE
1214,"Hides, wet salted nes",,,livestock,FALSE
1215,"Hides nes, dry salted",,,livestock,FALSE
1217,Leather used & waste,,,crop,TRUE
1219,"Hair, coarse nes",,,livestock,FALSE
1221,Lard stearine and lard oil,,,crop,TRUE
1222,Degras,,,crop,TRUE
1241,Liquid margarine,,,crop,TRUE
1259,"Feed, food waste preparations",,,livestock,FALSE
1274,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils",,,livestock,FALSE
1275,hydrogenated oils and fats,,,crop,TRUE
1276,Industrial monocarboxylic fatty acids; acid oils from refining,,,crop,TRUE
1277,Residues of fatty substances,,,crop,TRUE
1295,Spermaceti,,,crop,TRUE
1296,"Vegetable waxes (other than triglycerides), whether or not refined or coloured",,,crop,TRUE
1719,Roots and Tubers,,,crop,TRUE
1734,Vegetables,,,crop,TRUE
